ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
129214;Hotel & Office Campus (Bürokomplex);Tamara-Danz-Straße, Mühlenstraße 11 - 12;10243;Berlin;11000000;Mediaspree;Q2;2014;Completed;New Building;"BU; EH;";n/a;;Retailing;Vermietung;1240;;15,5;Q2;2015;Q2;2015;;BU;13,44426;52,5044
61047;;Cicerostraße 21;10709;Berlin;11000000;Wilmersdorf;Q4;1995;Completed;Existing;"BU;";EDGE Baugesellschaft;;Construction;Vermietung;250;;24,5;Q3;2023;Q3;2023;;BU;13,301;52,49239
61047;;Cicerostraße 21;10709;Berlin;11000000;Wilmersdorf;Q4;1995;Completed;Existing;"BU;";DSN Generalplanungsgesellschaft mbH Architekten + Ingenieure;Savills;Construction;Vermietung;250;;27;Q1;2023;Q4;2022;;BU;13,301;52,49239
61047;;Cicerostraße 21;10709;Berlin;11000000;Wilmersdorf;Q4;1995;Completed;Existing;"BU;";n/a;;Public Organisation;Vermietung;200;;17;Q4;2017;Q3;2017;;BU;13,301;52,49239
61047;;Cicerostraße 21;10709;Berlin;11000000;Wilmersdorf;Q4;1995;Completed;Existing;"BU;";Alimera Sciences Limited;;Biotech-, Pharmaceutical Industry;Vermietung;260;;9;Q2;2015;Q2;2015;3;BU;13,301;52,49239
98239;Medienhaus Am Treptower Park;Am Treptower Park 75;12435;Berlin;11000000;Peripherie-Süd;;;Completed;Existing;"BU;";Munerio Consulting GmbH;;Consulting Services;Vermietung;270;;18;Q3;2020;Q3;2020;;BU;13,45749;52,49228
98239;Medienhaus Am Treptower Park;Am Treptower Park 75;12435;Berlin;11000000;Peripherie-Süd;;;Completed;Existing;"BU;";Codetano GmbH;BNP Paribas;Information Technology;Vermietung;270;;18;Q2;2018;Q2;2018;;BU;13,45749;52,49228
98239;Medienhaus Am Treptower Park;Am Treptower Park 75;12435;Berlin;11000000;Peripherie-Süd;;;Completed;Existing;"BU;";Invia Germany;;Tourism/Travel;Vermietung;500;;16;Q4;2017;Q3;2017;;BU;13,45749;52,49228
98239;Medienhaus Am Treptower Park;Am Treptower Park 75;12435;Berlin;11000000;Peripherie-Süd;;;Completed;Existing;"BU;";n/a;;Real Estate Services;Vermietung;300;;16;Q4;2017;Q3;2017;;BU;13,45749;52,49228
79706;;Rungestraße 18;10179;Berlin;11000000;Mitte;;;Completed;Existing;"BU;";n/a;;Business Services;Vermietung;500;;12;Q4;2015;Q1;2015;;BU;13,42005;52,51208
24215;Telecolumbus-Haus;Ernst-Reuter-Platz 3 - 5;10587;Berlin;11000000;Charlottenburg;Q4;2003;Completed;Modernisation;"BU; EH;";n/a;;Consulting Services;Vermietung;1360;;15,5;Q2;2017;Q1;2017;5;BU;13,32093;52,5118
